Sample_ID,Genome,Study,Country,Region,Year,Accession,Database,Continent,updated_arc,updated_Subtype
PH0520-C.g549,PH0520-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2011,ERR067574,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PH0529-C.g226,PH0529-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR205948,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0530-C.g457,PH0530-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR205943,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0532-C.g241,PH0532-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR205944,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0534-C.g187,PH0534-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR063620,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0534-C.g490,PH0534-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR063620,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0537-C.g346,PH0537-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR067564,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0544-C.g100,PH0544-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR067569,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0570-C.g233,PH0570-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR123828,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PH0571-C.g199,PH0571-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR123829,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PH0574-C.g137,PH0574-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR123832,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PH0579-C.g207,PH0579-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR123837,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0585-C.g237,PH0585-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2011,ERR123843,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg4
PH0586-C.g254,PH0586-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2011,ERR123844,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLz4,DBLa2-CIDRa1.8 head structure with DBLg6
PH0603-C.g1771,PH0603-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2011,ERR123860,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz2-DBLe14,DBLa2-CIDRa1.8 head structure with DBLg4
PH0603-C.g1905,PH0603-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2011,ERR123860,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLz4,DBLa2-CIDRa1.8 head structure with DBLg6
PH0604-C.g503,PH0604-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2011,ERR114348,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg4
PH0615-C.g183,PH0615-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR123869,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PH0617-C.g22,PH0617-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR123871,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PH0625-C.g38,PH0625-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR123878,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg11-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg6
PH0631-C.g111,PH0631-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR123883,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg11-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg6
PH0631-C.g469,PH0631-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR123883,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLz4,DBLa2-CIDRa1.8 head structure with DBLg6
PH0633-C.g343,PH0633-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR123884,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd5-CIDRb4,DBLa2-CIDRa1.8 head structure with DBLg4
PH0634-C.g201,PH0634-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR123885,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg6
PH0636-C.g649,PH0636-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR123887,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg6
PH0639-C.g305,PH0639-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR123889,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd5-CIDRb4,DBLa2-CIDRa1.8 head structure with DBLg4
PH0640-C.g211,PH0640-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR123890,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.8 head structure with DBLg4
PH0647-C.g15,PH0647-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR123895,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg6-DBLg11-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg6
PH0647-C.g192,PH0647-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR123895,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb4,DBLa2-CIDRa1.8 head structure with DBLg4
PH0647-C.g380,PH0647-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR123895,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLz4,DBLa2-CIDRa1.8 head structure with DBLg6
PH0677-C.g484,PH0677-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR337565,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0680-C.g58,PH0680-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR175475,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0683-C.g584,PH0683-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR337567,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0685-C.g272,PH0685-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR175476,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0687-C.g415,PH0687-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR337566,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0696-C.g182,PH0696-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR175481,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0700-C.g265,PH0700-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR175484,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0708-C.g237,PH0708-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR171590,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0708-C.g806,PH0708-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR171590,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4,DBLa2-CIDRa1.1 head structure with DBLg4
PH0713-C.g185,PH0713-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR205969,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg4
PH0716-C.g134,PH0716-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR171592,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PH0717-C.g134,PH0717-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR171593,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PH0725-C.g430,PH0725-C,1052-PF-TRAC-WHITE,Cambodia,Pursat,2011,ERR171597,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4,DBLa2-CIDRa1.1 head structure with DBLg4
PH0731-C.g152,PH0731-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2011,ERR171599,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0732-C.g33,PH0732-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2011,ERR171600,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg4
PH0739-C.g152,PH0739-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2011,ERR171606,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg4
PH0755-C.g41,PH0755-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2011,ERR171613,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb5,DBLa2-CIDRa1.1 head structure with DBLg4
PH0759-C.g837,PH0759-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2011,ERR171650,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg4
PH0765-C.g935,PH0765-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR171619,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLg14,DBLa2-CIDRa1.1 head structure with DBLg4
PH0780-C.g163,PH0780-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR171629,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.8 head structure with DBLg4
PH0788-C.g745,PH0788-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2011,ERR171654,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg6,DBLa1.2-CIDRa1.1 head structure with DBLg6
PH0817-C.g388,PH0817-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR175488,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0819-C.g554,PH0819-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR175504,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1,DBLa2-CIDRa1.8 head structure with DBLg6
PH0820-C.g626,PH0820-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR175495,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0823-C.g591,PH0823-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR175490,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0825-C.g213,PH0825-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR164732,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PH0826-C.g559,PH0826-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR175506,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0828-C.g469,PH0828-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR175492,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0829-C.g305,PH0829-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR175520,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PH0833-C.g819,PH0833-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR180081,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0834-C.g261,PH0834-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR175508,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0836-C.g206,PH0836-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR171575,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0841-C.g357,PH0841-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR180068,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0842-C.g404,PH0842-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR180057,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0843-C.g243,PH0843-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR175487,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0847-C.g681,PH0847-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR180051,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0849-C.g600,PH0849-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR180050,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb5,DBLa2-CIDRa1.8 head structure with DBLg4
PH0849-C.g692,PH0849-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR180050,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz1-DBLe9,DBLa2-CIDRa1.1 head structure with DBLg4
PH0854-C.g134,PH0854-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR175507,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRg5,DBLa2-CIDRa1.1 head structure with DBLg4
PH0854-C.g470,PH0854-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR175507,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0855-C.g217,PH0855-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR171565,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PH0855-C.g646,PH0855-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR171565,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0868-Cx.g14,PH0868-Cx,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2012,ERR388749,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg4
PH0871-C.g221,PH0871-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2012,ERR216612,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg4
PH0877-C.g123,PH0877-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2012,ERR216615,megaDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRg9,DBLa2-CIDRa1.1 head structure with DBLg6
PH0888-C.g329,PH0888-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR216538,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0889-C.g744,PH0889-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR216551,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0890-C.g829,PH0890-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR216552,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0892-C.g51,PH0892-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2011,ERR216553,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4,DBLa2-CIDRa1.8 head structure with DBLg4
PH0893-C.g12833,PH0893-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR216554,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0894-C.g376,PH0894-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR216555,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0894-C.g635,PH0894-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR216555,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0899-C.g471,PH0899-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR216493,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0900-C.g585,PH0900-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR216557,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0901-C.g801,PH0901-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR216621,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0902-C.g176,PH0902-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR216622,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0903-C.g260,PH0903-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR216623,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLz3-DBLe12,DBLa2-CIDRa1.1 head structure with DBLg4
PH0905-C.g477,PH0905-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR216625,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLz4,DBLa2-CIDRa1.8 head structure with DBLg6
PH0907-C.g899,PH0907-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR216558,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0908-C.g880,PH0908-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR216559,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0910-C.g439,PH0910-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR216628,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0911-Cx.g429,PH0911-Cx,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR388747,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0915-C.g31,PH0915-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR216560,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0916-C.g1006,PH0916-C,1052-PF-TRAC-WHITE,Cambodia,Pailin,2012,ERR216561,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRg1-DBLz6-DBLe6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0925-C.g348,PH0925-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2012,ERR235930,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg4
PH0926-C.g240,PH0926-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2012,ERR235931,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb6,DBLa2-CIDRa1.1 head structure with DBLg6
PH0927-C.g491,PH0927-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2012,ERR235932,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLz4,DBLa2-CIDRa1.8 head structure with DBLg6
PH0928-C.g821,PH0928-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2012,ERR235933,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg4-DBLd4-CIDRg2,DBLa2-CIDRa1.1 head structure with DBLg4
PH0933-C.g182,PH0933-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2012,ERR234510,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRg2,DBLa2-CIDRa1.1 head structure with DBLg6
PH0936-C.g504,PH0936-C,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2012,ERR234512,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PH0940-Cx.g487,PH0940-Cx,1052-PF-TRAC-WHITE,Cambodia,Ratanakiri,2012,ERR388757,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PH0964-Cx.g208,PH0964-Cx,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2012,ERR337552,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa2-CIDRa1.8 head structure with DBLg4
PH0973-C.g1079,PH0973-C,1044-PF-KH-FAIRHURST,Cambodia,Ratanakiri,2012,ERR337585,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6,DBLa2-CIDRa1.8 head structure with DBLg6
PH0974-Cx.g323,PH0974-Cx,1044-PF-KH-FAIRHURST,Cambodia,Ratanakiri,2012,ERR337590,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLd5,DBLa2-CIDRa1.8 head structure with DBLg4
PH0974-Cx.g557,PH0974-Cx,1044-PF-KH-FAIRHURST,Cambodia,Ratanakiri,2012,ERR337590,megaDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg4-DBLz4,DBLa2-CIDRa1.8 head structure with DBLg4
PH0979-C.g311,PH0979-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2012,ERR337592,varDB,Asia,DBLa1.2-CIDRa1.1-DBLb12-DBLg4-DBLd1-CIDRb1,DBLa1.2-CIDRa1.1 head structure with DBLg4
PH0980-C.g52,PH0980-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2012,ERR337593,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6-DBLd1-CIDRb1,DBLa2-CIDRa1.1 head structure with DBLg6
PH0982-C.g397,PH0982-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2012,ERR337547,varDB,Asia,DBLa2-CIDRa1.1-DBLb12-DBLg6,DBLa2-CIDRa1.1 head structure with DBLg6
PH0984-C.g259,PH0984-C,1052-PF-TRAC-WHITE,Cambodia,Preah Vihear,2012,ERR337549,varDB,Asia,DBLa2-CIDRa1.8-DBLb12-DBLg6-DBLd1-CIDRb5,DBLa2-CIDRa1.8 head structure with DBLg6
